id,queue,age_from_ticket_submitted,age_from_ticket_started,days_before_service,fs_scheduler_id,requested_by,queue_status,status,sales_order_number,invoice,service_type,customer,property,location,state,sign_theme,sign_type,comments,start_time,notes,created_date,created_by,vendor_inv_number,vendor_cost,invoice_date,invoice_number,acc_status,platform,billable,request_date,installers,isVendor,total_techs,fullWorkOrderId,dateSubmitted,workOrderTicketId,createdDateWorkOrder,createdByWorkOrder,timeToComplete,full_request_date,endTime,co_number,customer_cancelled,cancellation_comments,cancelled_type,out_of_state,invoice_notes,title,backgroundColor,borderColor,color,property_phone_number,zip_code,compliance_license_notes,createdByUserName,turnover_fsid,group_id,full_address,published,eyeFiAsset,customerAsset,paper_work_location,zone_codes,contractor_codes,fs_calendar_id,active,notice_email_date,request_id,fs_lat,fs_lon
7744,,42,,-53,7744,"Erica Franklin",,Completed,SORT208805,2827.37,Removal,AGS,"Harrahs Northern California",Ione,CA,"Mariachi Party & Lucha Champions","360 sign","
Progressive Controller serial # TSCE91004452 
Digital Sign Controller serial # E24A6Z3801010206

Licensing Required for techs - contact before onsite

Field Service: Alicia Jimenez +1 916 639 7108 | Nicole Phares (NO PHONE #) nphares@playags.com

Field Service Supervisor: Richard Serna +1 916 205 6471 


-------

Serial #: E24A6Z3801010206
Customer Sign Part #: C39-00048, KIT 360 SIGN COMMON COMPONENTS OU49C MERCHANDISING
Sign Manufacture: Eyefi
Customer Product #: 
          ",08:00:00,"Progressive Controller serial # TSCE91004452 
Digital Sign Controller serial # E24A6Z3801010206
C39-00048, KIT 360 SIGN COMMON COMPONENTS OU49C MERCHANDISING","2026-02-03 15:21:40",125,NA,0,3/18/26,2026/I-00595,INVOICED,"4 Curve Carousel w/ 360 sign",Yes,2026-03-02,"Adrian Walker, Stanley Pacheco",0,2,7744-5355,"2026-03-13 09:25:57",5355,,,120,"2026-03-02 08:00:00","2026-03-02 10:00:00",,,,,Yes,,"AGS Harrahs Northern California (Removal)",#17B169,#17B169,#fff,,95640,,"Adriann Kamakahukilani",,,"Harrahs Northern California,4640 Coal Mine Road,Ione,CA,95640",1,133545,,Accounting,"Zone 9",,,1,,1107,38.277668,-120.911398
7757,,52,,-53,7757,"Chuck Stutz",,Completed,60255224,4039.22,Removal,IGT,"Apache Gold Casino","San Carlos",AZ,WOF,"2 x 2","
No Comments

-------

Serial #: 
Customer Sign Part #: WOFREEL-DBLFACE-SMALL-LCD
Sign Manufacture: Eye Fi
Customer Product #: 
          ",08:00:00,WOFREEL-DBLFACE-SMALL-LCD,"2026-02-17 13:20:36",125,NA,0,3/10/26,2026/I-00540,INVOICED,"Crystal Reel",Yes,2026-03-02,"Dylan Chun, Ulysses Herrera",0,2,7757-5354,"2026-03-03 13:12:26",5354,,,120,"2026-03-02 08:00:00","2026-03-02 10:00:00",,,,,Yes,,"IGT Apache Gold Casino (Removal)",#17B169,#17B169,#fff,,85550,"IGT to add the techs on their list of techs to be onsite. ","Adriann Kamakahukilani",,,"Apache Gold Casino,777 Geronimo Springs Boulevard,San Carlos,AZ,85550",1,119109,762486,Accounting,"Zone 6",,,1,,1116,33.358517,-110.668772
7718,,42,,-52,7718,"Erica Franklin",,Completed,SORT208705,2827.37,Removal,AGS,"Jackson Rancheria Casino",Jackson,CA,"Golden Blessings & Pirate Plunder","360 sign","
Requesting removal March 3rd at 6am for 360 sign

Tech(s) scheduled: Alicia Jimenez +1 916 639 7108, aliciajimenez@playags.com //
Nathan DeLeon +1 530 789 8092, ndeleon@playags.com //  Nicole Phares - newly training (NO PHONE #) nphares@playags.com

-------

Serial #: EF0119231000
Customer Sign Part #: C39-00048 KIT 360 SIGN COMMON COMPONENTS OU49C MERCHANDISING
Sign Manufacture: Eyefi
Customer Product #: 
          ",06:00:00," C39-00048 KIT 360 SIGN COMMON COMPONENTS OU49C MERCHANDISING","2026-01-09 14:56:46",125,NA,0,3/18/26,2026/I-00596,INVOICED,"4Pod Curve Prem",Yes,2026-03-03,"Adrian Walker, Stanley Pacheco",0,2,7718-5357,"2026-03-13 09:27:25",5357,,,120,"2026-03-03 06:00:00","2026-03-03 08:00:00",,,,,Yes,,"AGS Jackson Rancheria Casino (Removal)",#17B169,#17B169,#fff,,95642,,"Adriann Kamakahukilani",,,"Jackson Rancheria Casino,12222 New York Ranch Road,Jackson,CA,95642",1,135156,,Accounting,"Zone 9",,,1,,1090,38.386675,-120.73405
7758,,50,,-52,7758,"Hadji Cometa",,Completed,"SVO 8129378",1020.00,Relocation,IGT,"Eureka Las Vegas","Las Vegas",NV,"Money Gong ",2x2,"
No Comments

-------

Serial #: 
Customer Sign Part #: VWL-03367-200R
Sign Manufacture: FI
Customer Product #: 
          ",06:00:00,,"2026-02-18 14:54:00",125,NA,0,3/10/26,2026/I-,INVOICED,"Peak Slant",Yes,2026-03-03,"Dylan Chun, Ulysses Herrera",0,2,7758-5356,"2026-03-05 06:13:02",5356,,,120,"2026-03-03 06:00:00","2026-03-03 08:00:00",,,,,No,,"IGT Eureka Las Vegas (Relocation)",#17B169,#17B169,#fff,,89104,,"Adriann Kamakahukilani",,,"Eureka Las Vegas,595 East Sahara Avenue,Las Vegas,NV,89104",1,135533,Z2295,Accounting,Local-1,,,1,,1117,36.14351,-115.14694
7749,,49,,-51,7749,"Steve Varga",,Completed,"60257174 / 8125152",850.00,Removal,IGT,"Venetian Resort","Las Vegas",NV,"Fortune Link",4x2,"
No Comments

-------

Serial #: Z1033
Customer Sign Part #: PEAK49-DBLFACE-LED-EYEFI
Sign Manufacture: Fi
Customer Product #: 
          ",03:00:00,"PEAK49-DBLFACE-LED-EYEFI
Venetian Dock 8 3am-6am","2026-02-06 14:11:27",125,NA,0,3/10/26,2026/I-00542,INVOICED,"Peak Slants",Yes,2026-03-04,"Dylan Chun, Ulysses Herrera",0,2,7749-5359,"2026-03-06 12:43:33",5359,,,120,"2026-03-04 03:00:00","2026-03-04 05:00:00",,,,,Yes,,"IGT Venetian Resort (Removal)",#17B169,#17B169,#fff,,89109,,"Adriann Kamakahukilani",,,"Venetian Resort,3355 Las Vegas Boulevard South,Las Vegas,NV,89109",1,127656,Z1033,Accounting,Local-1,,,1,,1110,36.121157,-115.170226
7764,,49,,-50,7764,"Hadji Cometa",,Completed,"SVO 8127928",1500,Removal,IGT,"Casablanca Resort Casino Golf & Spa",Mesquite,NV,WOF,4x1,"
Reinstall:
3/6 - 8am
SVO 8127930

Also, on this date 3/6- customer wants to move 2x1 SIGN-LED PANEL, SF, 87 LONG, EYEFI  (SVO 8127931) and reinstall  on 3/9 (SVO 8127932) . Let me know if you need a separate request for this one. 


-------

Serial #: 
Customer Sign Part #: VWL-03513-410
Sign Manufacture: FI
Customer Product #: 
          ",09:00:00," VWL-03513-410","2026-02-19 14:47:55",125,NA,0,3/24/26,2026/I-00648,INVOICED,DRS,Yes,2026-03-05,"Stanley Pacheco, Ulysses Herrera",0,2,7764-5358,"2026-03-06 12:44:36",5358,,,120,"2026-03-05 09:00:00","2026-03-05 11:00:00",,,,,No,,"IGT Casablanca Resort Casino Golf & Spa (Removal)",#17B169,#17B169,#fff,,89027,,"Adriann Kamakahukilani",,,"Casablanca Resort Casino Golf & Spa,950 West Mesquite Boulevard,Mesquite,NV,89027",1,146052,Z7285,Accounting,Local-2,,,1,,1121,36.802582,-114.100935
7765,,,,-49,7765,"Hadji Cometa",,"Cancelled - NB","SVO 8127928",,Relocation,IGT,"Casablanca Resort Casino Golf & Spa",Mesquite,NV,WOF,4x1,"
Reinstall:
3/6 - 8am
SVO 8127930

Also, on this date 3/6- customer wants to move 2x1 SIGN-LED PANEL, SF, 87 LONG, EYEFI  (SVO 8127931) and reinstall  on 3/9 (SVO 8127932) . Let me know if you need a separate request for this one. 


-------

Serial #: 
Customer Sign Part #: VWL-03513-410
Sign Manufacture: FI
Customer Product #: 
          ",08:00," VWL-03513-410","2026-02-19 14:49:18",125,,,,,,DRS,Yes,2026-03-06,"No techs assigned",,,,,,,,120,"2026-03-06 08:00","2026-03-06 10:00:00",,,"Changed to a removal only. ",,No,,"IGT Casablanca Resort Casino Golf & Spa (Relocation)",#DA70D6,#DA70D6,#fff,,89027,,"Adriann Kamakahukilani",,,"Casablanca Resort Casino Golf & Spa,950 West Mesquite Boulevard,Mesquite,NV,89027",1,,,,Local-2,,,1,,1121,36.802582,-114.100935
7766,,,,-49,7766,"Hadji Cometa",,Completed,"SVO 8133296",1500.00,Relocation,IGT,"Casablanca Resort Casino Golf & Spa",Mesquite,NV,"87 LONG",2x1,"Also, on this date 3/6- customer wants to move 2x1 SIGN-LED PANEL, SF, 87 LONG, EYEFI  (SVO 8127931) and reinstall  on 3/9 (SVO 8127932) . Let me know if you need a separate request for this one. ",08:00,,"2026-02-19 14:53:00",125,NA,0,3/24/26,2026/I-00649,INVOICED,"2x1 Sign LED Panel ",Yes,2026-03-06,"Adrian Walker, Stanley Pacheco",0,2,7766-5360,,5360,,,120,"2026-03-06 08:00","2026-03-06 10:00:00",,,,,No,,"IGT Casablanca Resort Casino Golf & Spa (Relocation)",#17B169,#17B169,#fff,,89027,,"Adriann Kamakahukilani",,,"Casablanca Resort Casino Golf & Spa,950 West Mesquite Boulevard,Mesquite,NV,89027",1,124134,,Accounting,Local-2,,,1,,1121,36.802582,-114.100935
7767,,45,,-46,7767,"Hadji Cometa",,Completed,"SVO 8127931",850.00,Relocation,IGT,"Casablanca Resort Casino Golf & Spa",Mesquite,NV,"87 LONG",2x1,"
Reinstall:
3/6 - 8am
SVO 8127930

Also, on this date 3/6- customer wants to move 2x1 SIGN-LED PANEL, SF, 87 LONG, EYEFI  (SVO 8127931) and reinstall  on 3/9 (SVO 8127932) . Let me know if you need a separate request for this one. 


-------

Serial #: 
Customer Sign Part #: VWL-03513-410
Sign Manufacture: FI
Customer Product #: 
          ",08:00," VWL-03513-410","2026-02-19 14:53:33",125,NA,0,3/24/26,2026/I-00650,INVOICED,"2x1 Sign LED Panel",Yes,2026-03-09,"Adrian Walker, Proto tech 1 .",0,2,7767-5362,"2026-03-10 22:17:13",5362,,,120,"2026-03-09 08:00","2026-03-09 10:00:00",,,,,No,,"IGT Casablanca Resort Casino Golf & Spa (Relocation)",#17B169,#17B169,#fff,,89027,,"Adriann Kamakahukilani",,,"Casablanca Resort Casino Golf & Spa,950 West Mesquite Boulevard,Mesquite,NV,89027",1,124134,,Accounting,Local-2,,,1,,1121,36.802582,-114.100935
7770,,33,,-46,7770,"BRITTNEY KEMERLEY",,Completed,WO-00019607,9562.70,Removal,AGS,"Gate City Casino",Nashua,NH,NA,3X1,"
No Comments

-------

Serial #: 
Customer Sign Part #: C56-00070
Sign Manufacture: EYEFI
Customer Product #: 
          ",09:00:00,"C56-00070 3x1 Bank VWL-03439-310","2026-02-24 11:26:45",125,NA,0,3/26/26,2026/I-00673,INVOICED,CURVE,Yes,2026-03-09,"Ernesto Perez, Stanley Pacheco",0,2,7770-5361,"2026-03-22 05:26:00",5361,,,120,"2026-03-09 09:00:00","2026-03-09 11:00:00",,,,,Yes,,"AGS Gate City Casino (Removal)",#17B169,#17B169,#fff,,03062,,"Adriann Kamakahukilani",,,"Gate City Casino,55 Northeastern Boulevard,Nashua,NH,03062",1,142465,EF0423241002,Accounting,"Zone 1",,,1,,1106,42.734858,-71.482382
